luxury_id,ymd,price
11,2021-11-03,16500000
11,2021-11-04,16500000
11,2021-11-05,16500000
11,2021-11-06,16500000
11,2021-11-07,16500000
11,2021-11-08,15000000
11,2021-11-09,15000000
11,2021-11-10,15000000
11,2021-11-11,15000000
11,2021-11-12,15000000
11,2021-11-13,15000000
11,2021-11-14,15000000
11,2021-11-15,15000000
11,2021-11-16,15000000
11,2021-11-17,15000000
11,2021-11-18,15000000
11,2021-11-19,15000000
11,2021-11-20,15000000
11,2021-11-21,15000000
11,2021-11-22,15000000
11,2021-11-23,15000000
11,2021-11-24,14300000
11,2021-11-25,14300000
11,2021-11-26,14300000
11,2021-11-27,14500000
11,2021-11-28,14500000
11,2021-11-29,14500000
11,2021-11-30,14500000
11,2021-12-01,14500000
11,2021-12-02,14700000
11,2021-12-03,14700000
11,2021-12-04,14700000
11,2021-12-05,14700000
11,2021-12-06,14700000
11,2021-12-07,14700000
11,2021-12-08,14700000
11,2021-12-09,14700000
11,2021-12-10,14700000
11,2021-12-11,14800000
11,2021-12-12,14800000
11,2021-12-13,14800000
11,2021-12-14,14800000
11,2021-12-15,14800000
11,2021-12-16,14800000
11,2021-12-17,14700000
11,2021-12-18,14700000
11,2021-12-19,14790000
11,2021-12-20,14300000
11,2021-12-21,14300000
11,2021-12-22,14300000
11,2021-12-23,14300000
11,2021-12-24,14800000
11,2021-12-25,14800000
11,2021-12-26,14900000
11,2021-12-27,15300000
11,2021-12-28,15300000
11,2021-12-29,15200000
11,2021-12-30,15200000
11,2021-12-31,15200000
11,2022-01-01,15200000
11,2022-01-02,15200000
11,2022-01-03,15200000
11,2022-01-04,15200000
11,2022-01-05,15200000
11,2022-01-06,15200000
11,2022-01-07,15200000
11,2022-01-08,15200000
11,2022-01-09,15200000
11,2022-01-10,15200000
11,2022-01-11,15200000
11,2022-01-12,15200000
11,2022-01-13,15200000
11,2022-01-14,15200000
11,2022-01-15,15200000
11,2022-01-16,15200000
11,2022-01-17,15200000
11,2022-01-18,15200000
11,2022-01-19,15200000
11,2022-01-20,15200000
11,2022-01-21,15200000
11,2022-01-22,17000000
11,2022-01-23,17000000
11,2022-01-24,17000000
11,2022-01-25,17000000
11,2022-01-26,17000000
11,2022-01-27,17000000
11,2022-01-28,17000000
11,2022-01-29,17000000
11,2022-01-30,17000000
11,2022-01-31,17000000
11,2022-02-01,17000000
11,2022-02-02,17000000
11,2022-02-03,17000000
11,2022-02-04,17000000
11,2022-02-05,17000000
11,2022-02-06,17000000
11,2022-02-07,17000000
11,2022-02-08,17000000
11,2022-02-09,17000000
11,2022-02-10,17000000
11,2022-02-11,17000000
11,2022-02-12,17000000
11,2022-02-13,17000000
11,2022-02-14,17100000
11,2022-02-15,17100000
11,2022-02-16,17300000
11,2022-02-17,17300000
11,2022-02-18,17300000
11,2022-02-19,17300000
11,2022-02-20,17300000
11,2022-02-21,17300000
11,2022-02-22,17300000
11,2022-02-23,17300000
11,2022-02-24,17300000
11,2022-02-25,17200000
11,2022-02-26,17200000
11,2022-02-27,17200000
11,2022-02-28,17200000
11,2022-03-01,17200000
11,2022-03-02,17200000
11,2022-03-03,17200000
11,2022-03-04,17200000
11,2022-03-05,17200000
11,2022-03-06,17200000
11,2022-03-07,17200000
11,2022-03-08,17100000
11,2022-03-09,17100000
11,2022-03-10,17100000
11,2022-03-11,16800000
11,2022-03-12,16800000
11,2022-03-13,16950000
11,2022-03-14,16950000
11,2022-03-15,16950000
11,2022-03-16,16950000
11,2022-03-17,16950000
11,2022-03-18,16800000
11,2022-03-19,16800000
11,2022-03-20,16800000
11,2022-03-21,16800000
11,2022-03-22,16980000
11,2022-03-23,16980000
11,2022-03-24,16980000
11,2022-03-25,16500000
11,2022-03-26,16490000
11,2022-03-27,16490000
11,2022-03-28,16490000
11,2022-03-29,16500000
11,2022-03-30,16500000
11,2022-03-31,16500000
11,2022-04-01,16600000
11,2022-04-02,16600000
11,2022-04-03,16600000
11,2022-04-04,16550000
11,2022-04-05,16600000
11,2022-04-06,16600000
11,2022-04-07,16600000
11,2022-04-08,16600000
11,2022-04-09,16600000
11,2022-04-10,16600000
11,2022-04-11,16640000
11,2022-04-12,16750000
11,2022-04-13,16800000
11,2022-04-14,16974000
11,2022-04-15,16920000
11,2022-04-16,16920000
11,2022-04-17,16920000
11,2022-04-18,16850000
11,2022-04-19,16800000
11,2022-04-20,16920000
11,2022-04-21,16400000
11,2022-04-22,16400000
11,2022-04-23,16400000
11,2022-04-24,16800000
11,2022-04-25,16800000
11,2022-04-26,16500000
11,2022-04-27,16450000
11,2022-04-28,16450000
11,2022-04-29,16450000
11,2022-04-30,16450000
11,2022-05-01,16450000
11,2022-05-02,16450000
11,2022-05-03,15990000
11,2022-05-04,15990000
11,2022-05-05,15990000
11,2022-05-06,16000000
11,2022-05-07,16000000
11,2022-05-08,16000000
11,2022-05-09,16000000
11,2022-05-10,15700000
11,2022-05-11,15600000
11,2022-05-12,15600000
11,2022-05-13,15100000
11,2022-05-14,15100000
11,2022-05-15,15100000
11,2022-05-16,15100000
11,2022-05-17,15100000
11,2022-05-18,15100000
11,2022-05-19,15100000
11,2022-05-20,15100000
11,2022-05-21,15100000
11,2022-05-22,15100000
11,2022-05-23,15300000
11,2022-05-24,15680000
11,2022-05-25,15680000
11,2022-05-26,15680000
11,2022-05-27,15680000
11,2022-05-28,15680000
11,2022-05-29,15680000
11,2022-05-30,15390000
11,2022-05-31,15390000
11,2022-06-01,15390000
11,2022-06-02,15100000
11,2022-06-03,15449000
11,2022-06-04,15449000
11,2022-06-05,15650000
11,2022-06-06,15650000
11,2022-06-07,15400000
11,2022-06-08,15400000
11,2022-06-09,15490000
11,2022-06-10,15490000
11,2022-06-11,15400000
