product_id,price,year,month,day,area
1,"78,000",2006,10,16,84.705
1,"160,000",2006,10,16,158.705
1,"133,000",2006,10,16,117.585
1,"87,600",2006,10,16,84.751
1,"155,000",2006,10,17,158.705
1,"130,000",2006,10,17,117.585
1,"91,000",2006,10,17,84.751
1,"90,700",2006,10,17,84.751
1,"80,000",2006,10,18,84.705
1,"135,000",2006,10,18,136.325
1,"129,000",2006,10,18,136.325
1,"128,000",2006,10,19,117.585
1,"164,500",2006,10,19,158.705
1,"89,400",2006,10,19,84.751
1,"89,700",2006,10,19,84.751
1,"129,000",2006,10,20,117.585
1,"82,000",2006,10,20,84.705
1,"200,000",2006,10,21,192.235
1,"141,000",2006,10,21,136.325
1,"140,000",2006,10,21,136.325
1,"150,000",2006,10,22,136.325
1,"85,000",2006,10,23,84.705
1,"89,000",2006,10,23,84.705
1,"91,000",2006,10,23,84.751
1,"89,000",2006,10,24,84.705
1,"83,000",2006,10,24,84.705
1,"91,500",2006,10,24,84.751
1,"90,000",2006,10,24,84.751
1,"205,000",2006,10,28,192.235
1,"135,000",2006,10,28,117.585
1,"145,000",2006,10,28,136.325
1,"90,000",2006,10,28,84.705
1,"92,000",2006,10,30,84.751
1,"89,750",2006,10,31,84.751
1,"92,000",2006,11,1,84.705
1,"89,000",2006,11,1,84.705
1,"144,000",2006,11,2,136.325
1,"164,000",2006,11,2,158.705
1,"135,000",2006,11,4,117.585
1,"84,500",2006,11,5,84.705
1,"90,500",2006,11,6,84.705
1,"134,000",2006,11,9,117.585
1,"148,000",2006,11,14,136.325
1,"154,500",2006,11,15,136.325
1,"98,000",2006,11,17,84.751
1,"94,000",2006,11,25,84.751
1,"90,000",2006,11,27,84.751
1,"90,000",2006,11,28,84.705
1,"94,300",2006,12,6,84.751
1,"220,000",2006,12,16,192.235
1,"115,000",2006,12,22,117.585
1,"91,500",2006,12,23,84.705
1,"140,000",2006,12,26,136.325
1,"90,000",2006,12,28,84.705
1,"92,000",2006,12,30,84.705
1,"145,000",2007,1,25,158.705
1,"140,000",2007,1,28,136.325
1,"90,000",2007,2,15,84.705
1,"123,500",2007,2,15,117.585
1,"54,600",2007,2,20,136.325
1,"10,000",2007,3,21,84.705
1,"78,000",2007,4,9,84.705
1,"78,800",2007,4,11,84.705
1,"79,700",2007,4,12,84.751
1,"81,500",2007,4,25,84.751
1,"62,000",2007,4,27,158.705
1,"80,300",2007,5,2,84.705
1,"165,000",2007,5,7,158.705
1,"127,500",2007,5,10,136.325
1,"77,000",2007,5,14,84.705
1,"96,000",2007,5,18,117.585
1,"80,000",2007,5,19,84.751
1,"75,000",2007,5,19,84.705
1,"77,000",2007,5,26,84.751
1,"76,000",2007,5,26,84.705
1,"128,000",2007,5,28,136.325
1,"125,000",2007,5,29,136.325
1,"83,000",2007,6,8,84.751
1,"125,000",2007,6,9,136.325
1,"116,000",2007,6,9,117.585
1,"133,000",2007,6,9,136.325
1,"80,000",2007,6,11,84.705
1,"123,000",2007,6,12,136.325
1,"110,000",2007,6,12,117.585
1,"80,800",2007,6,14,84.751
1,"114,800",2007,6,15,117.585
1,"154,000",2007,6,16,158.705
1,"151,500",2007,6,18,158.705
1,"72,000",2007,6,22,84.705
1,"81,000",2007,6,24,84.705
1,"126,000",2007,6,27,136.325
1,"79,000",2007,6,27,84.705
1,"81,000",2007,6,30,84.705
1,"130,500",2007,7,3,117.585
1,"129,500",2007,7,3,136.325
1,"172,500",2007,7,25,158.705
1,"112,500",2007,8,2,117.585
1,"165,000",2007,8,3,158.705
1,"83,200",2007,8,12,84.751
1,"77,000",2007,8,17,84.705
1,"140,000",2007,8,29,158.705
1,"126,500",2007,9,4,136.325
1,"125,500",2007,9,12,136.325
1,"82,200",2007,9,29,84.705
1,"120,000",2007,10,1,136.325
1,"194,000",2007,10,4,192.235
1,"134,000",2007,10,9,136.325
1,"83,300",2007,10,9,84.751
1,"85,250",2007,10,13,84.751
1,"112,500",2007,10,22,117.585
1,"80,000",2007,10,27,84.705
1,"109,500",2007,11,1,117.585
1,"150,000",2007,11,4,158.705
1,"87,400",2007,11,7,84.751
1,"137,000",2007,11,12,136.325
1,"126,500",2007,11,20,136.325
1,"135,000",2007,11,28,158.705
1,"80,000",2007,12,9,84.751
1,"142,000",2007,12,22,158.705
1,"70,000",2007,12,25,84.705
1,"83,400",2007,12,28,84.751
1,"81,800",2007,12,31,84.751
1,"120,000",2008,1,2,136.325
1,"139,750",2008,1,3,136.325
1,"109,500",2008,1,3,117.585
1,"76,300",2008,1,18,84.705
1,"80,000",2008,1,19,84.705
1,"85,000",2008,1,19,84.751
1,"78,000",2008,1,21,84.705
1,"80,500",2008,2,1,84.705
1,"121,000",2008,2,3,136.325
1,"118,000",2008,2,10,117.585
1,"151,000",2008,2,13,158.705
1,"124,000",2008,2,15,136.325
1,"82,500",2008,2,22,84.751
1,"81,000",2008,2,29,84.705
1,"120,000",2008,2,29,136.325
1,"127,000",2008,3,3,136.325
1,"84,750",2008,3,4,84.751
1,"123,000",2008,3,10,136.325
1,"148,500",2008,3,10,158.705
1,"81,000",2008,3,14,84.705
1,"80,000",2008,3,14,84.705
1,"80,000",2008,3,15,84.705
1,"103,900",2008,3,17,117.585
1,"80,000",2008,3,18,84.705
1,"101,500",2008,3,29,117.585
1,"79,800",2008,4,2,84.705
1,"50,000",2008,4,7,158.705
1,"126,500",2008,4,10,136.325
1,"95,000",2008,4,10,117.585
1,"80,000",2008,4,14,84.705
1,"108,000",2008,4,16,117.585
1,"83,500",2008,4,18,84.751
1,"124,000",2008,4,19,136.325
1,"124,300",2008,4,22,136.325
1,"80,750",2008,4,23,84.705
1,"78,000",2008,4,23,84.705
1,"120,000",2008,4,25,136.325
1,"108,000",2008,4,26,117.585
1,"123,000",2008,4,27,136.325
1,"83,000",2008,4,30,84.751
1,"113,500",2008,5,1,117.585
1,"14,000",2008,5,2,136.325
1,"104,000",2008,5,7,136.325
1,"111,000",2008,5,11,117.585
1,"106,500",2008,5,15,117.585
1,"123,000",2008,5,18,136.325
1,"80,900",2008,5,18,84.751
1,"103,800",2008,5,19,136.325
1,"74,500",2008,5,21,84.705
1,"80,500",2008,5,22,84.751
1,"78,200",2008,5,23,84.751
1,"75,000",2008,5,23,84.705
1,"128,500",2008,5,27,136.325
1,"102,000",2008,6,3,117.585
1,"117,500",2008,6,4,136.325
1,"80,000",2008,6,5,84.751
1,"106,000",2008,6,5,136.325
1,"80,500",2008,6,6,84.751
1,"106,000",2008,6,9,117.585
1,"94,500",2008,6,10,117.585
1,"76,000",2008,6,11,84.705
1,"81,800",2008,6,14,84.751
1,"103,500",2008,6,14,117.585
1,"78,500",2008,6,15,84.751
1,"110,500",2008,6,15,136.325
1,"117,500",2008,6,17,136.325
1,"117,000",2008,6,18,136.325
1,"73,700",2008,6,19,84.705
1,"128,000",2008,6,20,136.325
1,"75,500",2008,6,20,84.705
1,"128,000",2008,6,20,136.325
1,"80,000",2008,6,21,84.751
1,"115,000",2008,6,21,136.325
1,"77,000",2008,6,23,84.705
1,"113,500",2008,6,25,136.325
1,"83,700",2008,6,25,84.751
1,"104,000",2008,6,30,117.585
1,"101,000",2008,7,1,117.585
1,"73,000",2008,7,1,84.705
1,"23,000",2008,7,2,84.705
1,"74,000",2008,7,5,84.705
1,"111,200",2008,7,8,136.325
1,"75,100",2008,7,12,84.751
1,"110,000",2008,7,14,136.325
1,"71,000",2008,7,15,84.705
1,"70,000",2008,7,15,84.705
1,"79,000",2008,7,15,84.751
1,"73,000",2008,7,17,84.705
1,"65,800",2008,7,19,84.705
1,"96,500",2008,7,21,117.585
1,"76,500",2008,7,21,84.751
1,"78,800",2008,7,21,84.751
1,"66,500",2008,7,22,84.751
1,"90,200",2008,7,23,117.585
1,"95,000",2008,7,25,117.585
1,"23,000",2008,7,25,84.705
1,"105,000",2008,7,25,117.585
1,"72,300",2008,7,26,84.705
1,"72,800",2008,7,26,84.705
1,"70,000",2008,7,26,84.705
1,"90,000",2008,8,19,117.585
1,"70,900",2008,8,21,84.751
1,"102,000",2008,8,21,117.585
1,"124,000",2008,8,23,158.705
1,"63,000",2008,8,23,84.705
1,"86,000",2008,8,25,117.585
1,"101,000",2008,8,28,136.325
1,"120,000",2008,8,28,158.705
1,"64,750",2008,9,4,84.705
1,"76,000",2008,9,6,84.751
1,"116,000",2008,9,9,158.705
1,"98,000",2008,9,11,117.585
1,"68,500",2008,9,20,84.705
1,"74,000",2008,9,21,84.751
1,"120,000",2008,10,3,158.705
1,"66,000",2008,10,8,117.585
1,"86,500",2008,10,20,117.585
1,"87,000",2008,10,26,117.585
1,"104,000",2008,11,5,136.325
1,"69,000",2008,11,11,84.751
1,"98,500",2008,11,18,136.325
1,"80,000",2008,11,26,117.585
1,"110,000",2008,12,2,158.705
1,"80,000",2008,12,10,136.325
1,"98,000",2008,12,13,136.325
