music_id,ymd,price_high,price_low,price_close,pct_price_change,cnt_units_traded
21,2020-12-15,42500,42500,42500,0.0,0
21,2020-12-16,56700,46000,50000,17.6,818
21,2020-12-17,50100,49700,50000,0.0,55
21,2020-12-18,50100,49100,49100,-1.8,32
21,2020-12-19,49900,49100,49500,0.8,33
21,2020-12-20,49900,49000,49100,-0.8,43
21,2020-12-21,49800,48900,49800,1.4,75
21,2020-12-22,49600,48900,49600,-0.4,75
21,2020-12-23,49500,48100,49400,-0.4,68
21,2020-12-24,49900,48800,48800,-1.2,54
21,2020-12-25,49900,48700,49900,2.3,28
21,2020-12-26,49900,49400,49900,0.0,19
21,2020-12-27,49900,49800,49800,-0.2,14
21,2020-12-28,49700,49500,49500,-0.6,43
21,2020-12-29,49500,48800,48800,-1.4,43
21,2020-12-30,49300,48700,48900,0.2,22
21,2020-12-31,49300,48900,48900,0.0,8
21,2021-01-01,49500,48600,49500,1.2,15
21,2021-01-02,49400,48600,49300,-0.4,29
21,2021-01-03,49300,48500,49200,-0.2,24
21,2021-01-04,49300,48200,48700,-1.0,45
21,2021-01-05,49100,45200,47500,-2.5,43
21,2021-01-06,48800,47500,48600,2.3,31
21,2021-01-07,48700,47500,47500,-2.3,24
21,2021-01-08,47900,47000,47900,0.8,13
21,2021-01-09,48200,47300,48000,0.2,37
21,2021-01-10,48400,48200,48200,0.4,30
21,2021-01-11,48500,48000,48000,-0.4,27
21,2021-01-12,48100,47500,48100,0.2,26
21,2021-01-13,48100,47300,48100,0.0,22
21,2021-01-14,48200,47900,48100,0.0,26
21,2021-01-15,49800,48000,49400,2.7,197
21,2021-01-16,50000,48700,50000,1.2,103
21,2021-01-17,49700,48900,49700,-0.6,12
21,2021-01-18,49500,48600,48600,-2.2,27
21,2021-01-19,49300,47900,49100,1.0,45
21,2021-01-20,49000,47700,48900,-0.4,40
21,2021-01-21,49100,46500,46500,-4.9,147
21,2021-01-22,48700,47200,48700,4.7,44
21,2021-01-23,48700,47500,48600,-0.2,7
21,2021-01-24,47700,47700,47700,-1.9,3
21,2021-01-25,49000,47700,48400,1.5,65
21,2021-01-26,48600,47600,48600,0.4,28
21,2021-01-27,48600,47900,48400,-0.4,16
21,2021-01-28,48400,47600,48400,0.0,15
21,2021-01-29,48600,47600,48600,0.4,12
21,2021-01-30,48700,48000,48000,-1.2,49
21,2021-01-31,48600,48000,48600,1.3,17
